Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Size,Inter_Arrival_Time,Flow_Duration,Throughput,Jitter,Label
125.108.171.43,129.56.107.232,49648,122,ICMP,180,0.031403,4.3,41.86,5.9,Normal
109.163.117.146,229.21.83.25,39592,405,UDP,683,0.086273,29.57,23.1,5.09,HTTP
69.83.176.206,194.56.82.154,53561,257,ICMP,210,0.046366,22.88,9.18,5.24,Normal
174.93.242.176,108.94.205.2,63837,119,TCP,1493,0.029503,23.87,62.55,1.98,HTTP
67.39.249.206,10.159.7.115,41010,181,UDP,1330,0.075425,7.91,168.14,6.34,DDoS
114.91.76.179,70.201.45.165,34906,66,UDP,1338,0.034487,24.64,54.3,4.79,DDoS
111.122.167.201,223.56.174.111,61653,181,TCP,288,0.071241,21.25,13.55,3.75,HTTP
160.113.32.30,231.4.242.199,26915,246,UDP,1417,0.035364,14.98,94.59,0.78,DDoS
61.165.166.244,3.185.180.232,35634,176,TCP,529,0.082777,5.04,104.96,2.43,HTTP
213.247.141.41,58.11.137.96,3124,138,ICMP,1064,0.061395,20.7,51.4,7.68,FTP
103.116.171.102,105.154.214.66,17932,206,TCP,756,0.099593,10.97,68.92,9.26,HTTP
161.105.187.127,226.242.64.186,28424,98,ICMP,316,0.035512,28.53,11.08,0.9,FTP
110.202.188.7,89.152.128.238,12782,330,TCP,1396,0.095895,29.32,47.61,6.96,FTP
118.165.222.222,180.90.66.66,22111,310,ICMP,889,0.027,5.05,176.04,4.11,DDoS
216.100.60.141,66.25.119.1,40269,206,ICMP,1004,0.021328,7.33,136.97,6.69,Normal
247.131.4.223,8.110.67.233,28266,324,UDP,646,0.043837,10.0,64.6,7.4,HTTP
33.183.156.248,109.249.88.220,61242,201,TCP,297,0.063802,2.11,140.76,8.22,FTP
170.49.186.29,148.87.21.255,43984,20,TCP,999,0.010397,18.7,53.42,9.04,Normal
135.191.201.92,27.191.50.235,42039,186,TCP,1469,0.032589,2.09,702.87,5.48,DDoS
101.52.183.136,174.189.128.3,45503,342,ICMP,421,0.060597,19.64,21.44,2.88,HTTP
76.145.82.146,85.247.116.134,49703,384,TCP,1009,0.054475,11.29,89.37,8.07,ICMP
130.84.81.133,105.229.216.255,38685,92,UDP,140,0.067486,17.52,7.99,1.24,FTP
106.135.200.250,81.128.48.224,20673,367,ICMP,838,0.010699,8.51,98.47,8.05,FTP
140.137.222.32,146.69.59.71,60272,412,ICMP,1292,0.092507,6.13,210.77,9.4,ICMP
82.142.199.11,10.153.75.118,29841,216,ICMP,1314,0.074878,10.32,127.33,4.44,FTP
50.206.156.92,183.31.157.215,61145,200,UDP,360,0.048604,28.43,12.66,3.66,DDoS
97.159.123.41,237.54.0.159,14209,322,ICMP,1039,0.052574,23.62,43.99,5.4,DDoS
109.170.58.4,52.247.26.111,46963,87,UDP,974,0.088384,0.2,4870.0,2.42,DDoS
5.93.56.56,63.138.110.173,29935,122,ICMP,355,0.021147,18.68,19.0,6.22,ICMP
79.180.212.61,192.14.13.94,17426,162,TCP,909,0.012233,10.38,87.57,8.68,ICMP
129.61.135.111,141.17.23.191,36045,226,ICMP,574,0.017944,3.81,150.66,5.09,FTP
192.185.110.202,218.223.76.104,37150,302,ICMP,1242,0.037799,29.45,42.17,8.73,FTP
255.254.104.192,154.106.253.82,39497,81,UDP,318,0.099621,29.05,10.95,4.14,Normal
27.128.162.238,234.158.67.240,34835,357,TCP,423,0.042905,26.89,15.73,1.79,DDoS
90.201.254.137,199.211.78.92,35338,431,UDP,1394,0.029695,12.02,115.97,0.27,FTP
203.194.220.0,92.146.222.232,45778,164,TCP,563,0.047342,21.12,26.66,0.41,ICMP
254.244.191.159,163.23.146.113,55159,373,ICMP,578,0.022528,13.63,42.41,5.72,ICMP
248.122.204.224,33.229.33.91,20995,335,ICMP,1311,0.079353,18.61,70.45,4.75,FTP
87.9.195.114,76.224.75.107,57494,167,TCP,474,0.037699,24.12,19.65,2.94,HTTP
48.52.116.101,201.159.208.1,36441,42,ICMP,528,0.097343,29.4,17.96,3.53,ICMP
113.108.214.66,80.79.162.185,26085,276,UDP,449,0.062072,16.9,26.57,1.79,DDoS
1.19.153.77,104.122.192.102,37023,372,TCP,388,0.074765,20.18,19.23,4.05,Normal
75.156.177.191,159.44.135.93,20717,201,TCP,821,0.085898,27.67,29.67,4.38,FTP
77.127.151.219,140.199.194.86,62228,302,TCP,138,0.075507,25.05,5.51,5.99,HTTP
112.147.84.177,179.6.26.214,41889,326,ICMP,422,0.00849,26.38,16.0,8.0,FTP
160.33.122.74,31.95.177.180,8153,90,TCP,627,0.054086,3.04,206.25,6.44,FTP
12.172.193.68,51.23.115.25,60383,155,UDP,93,0.01226,0.76,122.37,1.2,DDoS
187.239.10.188,179.173.205.167,23586,421,ICMP,94,0.049224,14.91,6.3,3.88,FTP
239.125.106.100,59.113.31.128,18908,244,UDP,535,0.047946,16.43,32.56,6.82,HTTP
6.84.12.46,64.92.49.164,24124,56,TCP,682,0.028092,10.92,62.45,6.11,FTP
203.149.242.158,253.68.54.25,9482,72,TCP,1041,0.006095,13.73,75.82,9.27,DDoS
212.134.150.231,16.141.117.171,51584,436,UDP,743,0.049964,18.05,41.16,1.0,ICMP
77.42.94.71,145.235.137.4,33680,24,ICMP,104,0.091861,18.92,5.5,0.94,DDoS
164.100.187.230,90.208.205.1,57348,265,ICMP,882,0.084375,3.54,249.15,5.62,FTP
225.1.177.147,124.224.65.214,1304,375,UDP,1279,0.072023,9.78,130.78,1.03,HTTP
119.72.13.215,118.158.118.117,32322,175,ICMP,1347,0.095438,28.74,46.87,8.92,FTP
91.143.56.186,19.108.89.228,60029,127,TCP,244,0.057954,23.3,10.47,0.79,HTTP
81.67.111.77,17.101.176.87,5353,196,ICMP,927,0.073392,13.17,70.39,0.84,Normal
73.103.79.59,190.39.15.230,51420,286,ICMP,1127,0.058926,10.6,106.32,8.26,HTTP
92.45.3.31,44.108.247.123,50644,124,TCP,699,0.005632,1.84,379.89,2.34,FTP
201.14.29.61,25.102.86.133,12039,287,UDP,251,0.089586,19.91,12.61,9.6,HTTP
113.155.17.64,247.116.189.123,27687,422,ICMP,1385,0.012096,27.79,49.84,1.86,HTTP
3.67.183.102,17.198.93.186,41433,99,TCP,234,0.001051,26.36,8.88,5.19,HTTP
16.182.23.5,208.140.5.28,63801,270,UDP,1470,0.003082,5.69,258.35,3.98,FTP
153.39.122.68,120.72.3.177,50291,54,ICMP,1474,0.08204,9.22,159.87,0.03,HTTP
119.53.0.227,176.218.42.57,18071,349,ICMP,863,0.05897,12.5,69.04,2.51,HTTP
128.87.124.146,170.92.244.214,55712,161,UDP,1427,0.08013,13.6,104.93,4.86,FTP
122.45.253.95,160.33.200.252,59262,250,TCP,758,0.076702,4.61,164.43,8.97,ICMP
81.220.169.166,25.140.82.141,57216,26,TCP,1240,0.068342,11.75,105.53,1.87,Normal
109.239.7.144,2.172.130.143,8338,222,UDP,381,0.015761,16.88,22.57,2.83,ICMP
171.33.54.143,99.129.26.132,65319,167,UDP,330,0.099047,10.1,32.67,5.9,DDoS
227.46.238.20,236.168.204.254,38443,395,ICMP,92,0.03634,3.59,25.63,8.4,ICMP
95.89.95.70,9.22.165.103,55090,111,TCP,958,0.017804,27.46,34.89,9.44,HTTP
5.207.34.136,119.34.116.26,18797,230,UDP,841,0.044854,16.98,49.53,8.44,Normal
165.88.78.50,136.173.1.0,61411,137,UDP,103,0.03306,5.62,18.33,7.75,DDoS
197.115.17.243,99.130.184.179,1269,145,TCP,883,0.074027,20.71,42.64,6.64,HTTP
182.140.220.191,129.224.229.255,44497,356,TCP,992,0.016946,5.81,170.74,6.83,FTP
157.73.234.48,61.48.88.170,16201,29,UDP,1105,0.01612,10.92,101.19,2.49,ICMP
104.64.192.0,101.38.247.53,63783,60,UDP,1300,0.023648,19.97,65.1,4.78,ICMP
25.37.161.240,88.74.64.180,38331,382,ICMP,597,0.023964,28.84,20.7,2.46,ICMP
90.4.236.152,179.111.102.247,12887,300,TCP,507,0.04426,0.76,667.11,0.83,HTTP
230.46.233.39,83.114.99.4,41743,352,ICMP,1102,0.079924,27.63,39.88,0.55,Normal
248.204.6.112,16.168.2.101,31132,443,ICMP,1277,0.021891,26.62,47.97,8.05,Normal
139.179.240.65,169.169.35.156,63130,29,TCP,768,0.026189,21.69,35.41,9.4,DDoS
107.182.137.111,242.189.139.24,42578,125,ICMP,495,0.008997,0.63,785.71,4.76,FTP
58.119.133.246,53.150.88.248,8964,64,TCP,990,0.013817,25.64,38.61,7.61,HTTP
189.218.175.179,158.255.82.41,27734,420,TCP,761,0.089589,18.13,41.97,2.84,ICMP
10.168.23.75,239.213.54.243,10411,131,UDP,275,0.094302,23.16,11.87,4.81,Normal
128.93.146.125,124.59.63.86,42667,106,UDP,511,0.013981,6.82,74.93,7.11,DDoS
94.17.156.176,86.131.124.78,61507,413,UDP,71,0.073998,14.2,5.0,6.58,HTTP
71.124.57.6,218.196.139.113,30862,70,UDP,947,0.021709,10.37,91.32,6.27,ICMP
224.235.45.225,146.166.193.173,18995,101,TCP,804,0.004869,22.39,35.91,8.36,HTTP
177.183.182.242,242.47.4.245,50166,252,TCP,326,0.018872,9.97,32.7,3.23,Normal
108.174.209.0,30.147.190.148,47363,60,ICMP,145,0.087573,19.88,7.29,2.71,FTP
68.93.33.250,150.30.100.210,1758,74,TCP,118,0.063804,1.43,82.52,2.02,Normal
202.166.250.84,211.67.66.9,2453,133,ICMP,114,0.067325,5.33,21.39,1.52,ICMP
60.155.138.116,49.225.68.73,4249,385,TCP,1428,0.039913,0.14,10200.0,8.08,DDoS
138.84.187.22,35.169.100.116,15643,120,TCP,887,0.030189,6.58,134.8,4.06,Normal
111.127.27.114,195.66.24.167,8223,233,TCP,917,0.062953,4.16,220.43,0.32,ICMP
101.73.148.174,96.41.29.207,28387,60,UDP,102,0.061469,14.31,7.13,3.72,FTP
65.39.16.94,191.178.125.171,13496,342,TCP,123,0.095751,25.33,4.86,5.72,HTTP
229.26.115.58,152.206.217.202,49924,153,TCP,360,0.030086,29.99,12.0,8.86,Normal
194.175.149.36,98.237.235.116,11285,384,ICMP,192,0.057066,15.87,12.1,5.03,Normal
3.128.162.216,28.56.78.209,46659,205,TCP,298,0.046932,10.25,29.07,8.26,DDoS
53.251.181.3,210.125.239.57,50898,429,ICMP,1330,0.072631,29.22,45.52,1.92,HTTP
93.64.0.27,189.248.62.198,48778,253,ICMP,411,0.026345,22.85,17.99,8.19,FTP
213.156.98.232,221.6.202.52,3698,418,TCP,1233,0.003847,4.46,276.46,2.53,ICMP
168.168.202.108,113.75.150.141,52421,442,ICMP,918,0.010578,14.22,64.56,3.77,ICMP
146.127.153.29,97.249.93.229,54852,242,ICMP,282,0.04343,16.96,16.63,6.32,Normal
55.110.176.111,27.91.241.116,26649,193,ICMP,939,0.069076,2.3,408.26,7.82,ICMP
18.110.70.50,127.53.72.185,47188,32,UDP,709,0.086814,20.39,34.77,9.4,ICMP
126.206.72.192,109.103.28.169,50164,342,UDP,1372,0.090537,6.85,200.29,6.93,DDoS
222.68.240.39,206.14.208.201,24007,181,UDP,756,0.080089,21.33,35.44,3.87,DDoS
154.177.85.218,133.250.223.169,11615,246,TCP,443,0.05963,28.58,15.5,8.26,Normal
46.241.91.86,151.62.161.237,37081,201,UDP,192,0.031192,23.36,8.22,1.09,DDoS
102.240.254.52,152.35.210.157,65084,107,TCP,1115,0.01444,19.84,56.2,2.87,FTP
26.250.246.197,150.127.167.85,50202,235,UDP,852,0.071298,10.79,78.96,2.45,DDoS
249.252.143.68,50.25.247.4,61809,365,ICMP,938,0.083835,21.82,42.99,6.51,HTTP
224.49.99.122,174.12.197.23,11208,325,UDP,619,0.091784,18.04,34.31,8.23,Normal
178.38.176.118,241.145.137.83,15381,185,TCP,1432,0.003619,16.76,85.44,2.25,ICMP
215.114.174.254,156.189.83.120,59118,77,TCP,468,0.030488,8.42,55.58,0.89,DDoS
61.137.96.149,93.35.161.162,13303,123,UDP,220,0.064674,29.83,7.38,6.42,Normal
135.199.195.178,206.249.203.25,40816,172,ICMP,1220,0.063323,15.58,78.31,1.47,ICMP
202.241.33.106,177.19.200.192,8949,279,UDP,378,0.034633,2.02,187.13,1.21,FTP
70.225.205.228,81.243.35.107,37139,302,ICMP,158,0.031289,1.39,113.67,0.81,Normal
129.212.113.128,118.154.78.212,25915,371,TCP,545,0.008927,15.08,36.14,0.73,DDoS
41.7.219.238,2.116.147.138,41387,176,TCP,1311,0.035075,7.13,183.87,2.27,DDoS
10.148.83.34,133.233.70.79,13708,373,ICMP,283,0.037275,22.46,12.6,7.61,FTP
93.151.24.33,187.221.251.152,49344,106,TCP,1230,0.024064,11.98,102.67,1.32,Normal
62.209.4.14,88.239.25.104,27150,256,ICMP,635,0.033713,26.57,23.9,4.6,Normal
68.132.54.183,133.57.201.240,23928,257,ICMP,412,0.099424,12.35,33.36,1.08,FTP
51.36.55.85,137.195.50.238,31360,32,TCP,1454,0.025563,18.74,77.59,7.82,Normal
142.31.223.5,159.226.73.69,20775,335,TCP,1245,0.060644,22.76,54.7,6.75,DDoS
215.119.176.18,226.34.234.94,14813,336,UDP,584,0.02852,1.34,435.82,5.17,Normal
16.77.1.126,72.207.38.217,20256,42,UDP,868,0.005992,27.59,31.46,8.75,DDoS
211.4.184.176,228.59.233.130,33299,357,UDP,1346,0.091572,17.09,78.76,8.81,ICMP
67.17.200.94,21.134.229.220,64832,116,UDP,1145,0.003453,3.87,295.87,5.06,HTTP
229.51.254.35,140.230.237.17,9040,441,UDP,520,0.02724,3.37,154.3,7.76,DDoS
25.110.146.60,67.199.199.193,36648,272,UDP,464,0.024012,2.59,179.15,1.73,FTP
29.250.6.79,120.8.91.215,43757,58,UDP,179,0.049003,26.08,6.86,8.69,DDoS
174.4.25.217,203.93.159.111,47527,102,TCP,1213,0.097507,15.73,77.11,4.74,FTP
173.28.180.71,216.105.245.47,32024,48,UDP,221,0.056148,24.56,9.0,6.21,ICMP
140.133.149.240,37.71.235.7,37784,413,UDP,720,0.081675,21.22,33.93,0.09,DDoS
32.190.114.84,87.127.94.195,65375,320,ICMP,622,0.014216,16.94,36.72,3.6,HTTP
59.102.71.91,76.66.13.198,32725,102,TCP,1437,0.005606,6.08,236.35,1.14,Normal
235.127.103.234,174.209.123.160,31122,322,ICMP,709,0.097498,17.86,39.7,2.46,FTP
218.208.73.187,67.209.232.187,4971,338,TCP,446,0.076579,2.18,204.59,9.62,DDoS
218.119.203.81,85.141.162.22,17946,384,TCP,380,0.015627,23.52,16.16,3.59,ICMP
112.25.111.34,38.243.174.198,65440,247,TCP,896,0.01811,15.7,57.07,4.85,Normal
189.68.38.172,172.214.40.36,33305,354,ICMP,144,0.018709,13.59,10.6,3.08,HTTP
73.237.60.172,234.30.105.229,63342,98,UDP,1106,0.009027,21.54,51.35,3.53,HTTP
53.52.17.108,239.35.128.181,24099,250,UDP,282,0.034641,9.03,31.23,4.52,DDoS
171.68.248.166,255.90.191.13,48217,443,UDP,1334,0.086171,1.51,883.44,7.77,DDoS
201.231.61.11,148.137.214.57,47483,426,UDP,797,0.06684,8.42,94.66,7.06,FTP
255.215.207.254,213.252.4.118,56292,270,TCP,978,0.08366,28.2,34.68,1.69,DDoS
72.65.244.27,146.30.217.101,24359,112,ICMP,1246,0.054449,10.56,117.99,1.48,Normal
196.217.99.9,12.130.245.38,61819,225,UDP,1401,0.051151,19.55,71.66,9.45,HTTP
69.192.226.36,111.35.179.51,22201,410,UDP,730,0.065223,2.22,328.83,8.28,DDoS
26.102.164.3,128.228.195.206,40869,319,ICMP,71,0.087392,15.67,4.53,3.78,ICMP
80.122.247.47,144.224.74.73,16631,114,TCP,1482,0.099249,3.05,485.9,2.86,HTTP
39.237.216.165,215.231.157.210,57069,439,ICMP,257,0.028348,13.9,18.49,8.17,HTTP
135.248.248.141,117.145.26.217,61525,309,TCP,539,0.063698,0.6,898.33,7.24,DDoS
46.10.58.166,9.146.14.11,18189,97,TCP,192,0.095137,22.47,8.54,1.09,HTTP
195.164.124.86,177.184.167.144,9906,160,TCP,281,0.020383,5.16,54.46,7.63,FTP
158.189.184.63,109.159.192.247,4613,368,UDP,1331,0.02402,6.79,196.02,3.46,DDoS
52.45.124.245,18.124.116.5,10278,158,ICMP,87,0.051674,19.1,4.55,7.88,DDoS
58.68.15.3,43.102.98.200,26112,103,ICMP,868,0.059652,2.29,379.04,0.37,HTTP
1.39.183.28,132.122.236.208,4737,299,UDP,350,0.057529,16.05,21.81,8.56,ICMP
215.179.63.134,20.132.236.12,9822,243,UDP,542,0.0791,5.71,94.92,3.29,DDoS
172.181.106.64,80.186.61.168,8943,257,ICMP,472,0.079137,27.73,17.02,0.82,DDoS
93.11.224.86,80.231.56.240,51021,32,UDP,669,0.010694,12.86,52.02,8.98,Normal
136.93.6.81,212.190.39.121,10712,416,UDP,791,0.0864,24.75,31.96,9.4,ICMP
8.88.216.231,81.13.201.130,59440,200,UDP,666,0.079507,21.55,30.9,0.2,FTP
114.70.45.131,73.107.142.230,19194,185,ICMP,1420,0.089504,3.23,439.63,8.61,DDoS
17.149.216.127,142.94.89.110,48377,331,UDP,475,0.045562,27.7,17.15,3.33,HTTP
231.99.151.74,202.251.72.248,39976,202,UDP,360,0.089936,11.14,32.32,5.55,DDoS
209.225.171.126,26.86.175.230,60579,52,TCP,1399,0.093456,0.88,1589.77,5.42,Normal
52.236.145.9,161.75.92.86,28808,58,UDP,714,0.094684,0.53,1347.17,6.63,ICMP
190.143.61.163,63.182.199.200,10546,70,ICMP,879,0.033839,28.83,30.49,5.72,FTP
197.115.145.236,187.109.31.195,15493,422,ICMP,284,0.039045,16.87,16.83,0.58,HTTP
65.48.142.131,64.175.173.105,30576,282,ICMP,889,0.054819,2.52,352.78,1.53,DDoS
145.90.154.248,72.236.184.95,61805,132,ICMP,1398,0.093452,16.03,87.21,0.5,Normal
231.138.31.128,52.124.92.173,11860,104,UDP,1351,0.048682,15.1,89.47,8.83,Normal
250.52.174.198,231.21.40.79,56875,266,ICMP,972,0.06256,16.63,58.45,4.62,Normal
47.92.131.245,9.247.251.40,3228,348,ICMP,154,0.085597,0.62,248.39,1.69,FTP
252.158.49.83,82.25.66.163,40539,225,TCP,481,0.029526,21.09,22.81,3.29,DDoS
222.137.167.30,255.211.63.46,40875,391,TCP,1360,0.02034,21.46,63.37,8.54,ICMP
172.78.158.38,27.157.216.15,9380,47,ICMP,416,0.032258,21.19,19.63,4.57,DDoS
5.181.59.251,133.19.18.20,37087,106,TCP,585,0.009479,24.75,23.64,3.03,FTP
36.133.80.36,130.210.162.20,21351,60,ICMP,128,0.023372,23.97,5.34,2.86,DDoS
109.252.225.153,160.133.104.94,31287,189,TCP,635,0.027315,5.42,117.16,9.1,ICMP
160.31.168.96,15.57.71.64,5856,154,UDP,1403,0.03544,7.41,189.34,6.05,HTTP
93.52.132.28,238.75.121.151,2108,417,ICMP,965,0.028468,15.04,64.16,6.71,HTTP
179.22.7.125,189.103.77.111,5509,360,UDP,344,0.008367,7.91,43.49,3.1,HTTP
73.14.117.50,193.91.51.6,52697,220,TCP,824,0.034236,10.51,78.4,4.67,Normal
119.150.124.121,249.73.123.129,38153,136,TCP,658,0.098929,12.23,53.8,5.65,HTTP
10.183.197.60,51.112.168.123,41725,329,TCP,1452,0.019526,1.9,764.21,1.21,Normal
214.229.248.125,89.82.111.177,41849,264,TCP,514,0.042545,18.05,28.48,0.2,DDoS
229.121.67.106,152.30.45.93,12211,60,UDP,965,0.036883,9.36,103.1,5.1,HTTP
88.10.156.98,156.154.222.140,28801,431,ICMP,474,0.05487,27.57,17.19,5.2,HTTP
55.42.205.77,40.98.118.195,14586,33,TCP,134,0.008946,6.1,21.97,8.45,ICMP
92.246.48.190,191.214.226.172,43418,36,TCP,228,0.001384,25.31,9.01,1.27,HTTP
157.202.132.144,201.12.131.185,17990,90,TCP,808,0.006846,26.65,30.32,6.63,FTP
244.234.39.191,28.184.86.177,60248,317,ICMP,734,0.016174,11.83,62.05,5.22,HTTP
137.82.154.93,65.20.135.150,26937,86,UDP,346,0.046989,5.5,62.91,1.96,DDoS
249.171.193.189,233.32.228.244,49391,28,TCP,237,0.032926,15.1,15.7,4.48,FTP
186.230.211.135,141.8.25.95,27994,375,ICMP,1248,0.076441,9.58,130.27,6.57,DDoS
146.89.241.81,17.33.174.128,23636,256,TCP,748,0.007546,25.99,28.78,8.0,Normal
19.50.186.225,87.105.227.203,48860,322,ICMP,768,0.094366,13.08,58.72,2.73,FTP
120.240.208.215,175.210.48.136,31650,398,TCP,1054,0.058596,17.43,60.47,7.29,FTP
135.142.39.159,219.224.199.58,39952,284,ICMP,1339,0.085065,17.11,78.26,9.7,Normal
34.163.45.197,218.117.129.138,12168,287,TCP,338,0.032927,25.6,13.2,1.51,FTP
128.63.105.6,186.42.13.58,25429,222,TCP,309,0.012369,24.68,12.52,5.09,DDoS
35.33.6.204,82.200.46.208,32655,317,UDP,1276,0.035668,21.34,59.79,3.36,HTTP
243.129.160.21,45.137.156.108,61529,29,TCP,971,0.083628,11.92,81.46,3.89,DDoS
233.127.97.57,30.196.5.185,65178,312,UDP,1219,0.09997,14.76,82.59,1.46,ICMP
250.7.88.102,106.199.49.123,9060,122,UDP,1215,0.008369,6.44,188.66,2.67,HTTP
4.26.245.186,231.244.186.71,4457,230,ICMP,778,0.007745,9.92,78.43,2.7,Normal
41.207.26.203,117.28.188.75,59996,327,ICMP,124,0.070704,7.41,16.73,7.69,ICMP
19.19.72.225,230.138.237.184,20703,33,UDP,1369,0.001451,16.52,82.87,4.67,Normal
50.234.70.54,254.214.200.38,54980,25,UDP,1202,0.029284,26.65,45.1,8.16,ICMP
245.50.12.23,233.236.84.42,30156,217,UDP,70,0.073698,8.83,7.93,7.59,ICMP
225.113.71.116,90.238.51.122,38890,117,UDP,361,0.08197,16.39,22.03,4.92,HTTP
102.221.182.12,49.65.210.84,24876,155,UDP,854,0.02428,27.74,30.79,4.69,DDoS
249.107.60.59,15.189.53.152,7020,267,UDP,1093,0.009783,1.3,840.77,6.23,DDoS
112.161.73.107,166.187.53.207,34420,298,TCP,454,0.044511,9.98,45.49,2.14,HTTP
173.74.199.180,152.242.17.202,6391,434,ICMP,463,0.077599,10.64,43.52,1.29,DDoS
194.218.61.1,147.77.102.34,54052,322,TCP,1356,0.070298,20.27,66.9,2.46,ICMP
219.133.68.155,121.137.37.63,6075,406,UDP,822,0.009654,26.54,30.97,5.99,FTP
151.95.112.41,81.73.33.144,35619,369,TCP,813,0.084712,7.18,113.23,7.27,ICMP
73.249.4.218,254.243.190.222,35799,339,UDP,751,0.004034,10.85,69.22,5.77,FTP
152.198.30.189,223.21.241.76,60700,264,UDP,475,0.099674,13.28,35.77,3.87,ICMP
165.50.124.155,171.117.22.119,34739,238,UDP,1277,0.090634,26.22,48.7,3.8,HTTP
47.181.226.11,171.175.42.153,23764,112,TCP,1492,0.022692,11.34,131.57,5.31,ICMP
159.230.146.228,24.113.187.81,25430,440,TCP,348,0.006051,17.52,19.86,0.1,DDoS
78.219.145.223,197.242.183.199,55096,219,UDP,1478,0.012004,15.12,97.75,6.49,FTP
96.244.121.44,122.151.52.184,5471,382,ICMP,432,0.089446,23.95,18.04,6.19,ICMP
128.45.239.165,250.15.45.111,65531,408,ICMP,735,0.090989,22.75,32.31,8.52,DDoS
62.154.31.49,143.202.133.111,28226,117,UDP,1114,0.040158,23.38,47.65,5.81,FTP
107.81.25.117,139.187.85.130,34747,232,TCP,106,0.07247,12.83,8.26,7.76,FTP
244.204.102.22,58.199.151.90,60294,200,ICMP,1447,0.022237,17.31,83.59,6.87,Normal
68.89.120.43,128.78.131.87,3679,81,UDP,809,0.089892,24.95,32.42,6.55,Normal
67.93.172.140,54.36.143.127,37035,59,UDP,781,0.098324,6.88,113.52,1.96,FTP
188.85.248.120,98.34.147.34,60607,376,UDP,1220,0.079603,13.04,93.56,2.62,FTP
71.81.2.2,69.122.242.170,34923,322,TCP,1457,0.069269,29.81,48.88,5.31,HTTP
123.54.131.117,120.132.66.141,50068,343,UDP,1128,0.092072,22.87,49.32,8.78,Normal
156.113.76.145,94.241.154.205,57925,84,ICMP,170,0.073967,9.84,17.28,8.09,DDoS
150.16.37.167,253.217.207.36,23432,356,UDP,887,0.084785,9.0,98.56,9.57,FTP
144.187.180.179,196.42.173.80,61119,97,TCP,1338,0.092358,24.55,54.5,1.13,Normal
110.30.17.143,34.139.24.189,25653,204,UDP,908,0.066726,11.9,76.3,3.48,HTTP
172.237.66.64,67.192.250.122,32665,283,ICMP,280,0.056308,17.34,16.15,4.17,HTTP
155.215.201.196,244.32.36.241,4416,57,ICMP,806,0.04049,25.43,31.69,3.55,FTP
96.131.112.186,103.178.235.86,34067,372,TCP,771,0.064533,1.76,438.07,0.86,DDoS
136.242.170.228,221.31.20.80,4702,348,TCP,457,0.028995,1.1,415.45,5.24,FTP
140.37.98.202,253.175.188.234,9865,347,TCP,1495,0.099309,2.3,650.0,2.3,FTP
189.6.175.142,92.179.123.211,33955,257,TCP,397,0.09388,22.48,17.66,0.35,Normal
198.41.28.197,67.129.82.147,36472,179,ICMP,193,0.0809,19.12,10.09,6.09,ICMP
247.218.117.78,127.165.25.28,63574,87,TCP,123,0.025129,12.89,9.54,1.76,Normal
128.65.165.93,170.42.251.148,23661,89,UDP,280,0.045327,5.25,53.33,6.51,Normal
88.212.200.43,127.205.34.23,29481,430,UDP,434,0.041209,17.51,24.79,3.35,HTTP
199.23.195.38,182.93.119.49,40954,268,UDP,650,0.073101,24.51,26.52,7.57,ICMP
197.88.21.54,162.0.144.215,14484,296,TCP,382,0.055607,13.78,27.72,1.76,ICMP
1.101.179.69,30.78.81.241,27835,331,ICMP,1107,0.040576,19.7,56.19,9.01,Normal
220.29.198.225,16.69.96.226,15891,166,UDP,320,0.069571,13.81,23.17,8.37,DDoS
219.183.114.236,17.101.234.233,35996,340,TCP,563,0.074091,28.75,19.58,4.53,FTP
249.54.126.125,58.225.98.33,20660,209,TCP,457,0.080242,1.58,289.24,1.38,HTTP
121.234.93.126,72.188.171.186,37768,182,UDP,1247,0.059888,5.81,214.63,6.77,DDoS
106.73.15.220,117.64.216.144,29668,116,UDP,327,0.013034,5.52,59.24,3.48,Normal
158.169.54.221,255.100.65.245,33708,265,ICMP,524,0.069631,11.25,46.58,0.84,HTTP
169.250.90.240,187.51.60.35,59580,101,ICMP,408,0.052514,1.41,289.36,2.03,Normal
64.107.129.50,220.75.185.74,18711,204,ICMP,587,0.071063,18.28,32.11,3.04,DDoS
136.231.60.11,13.60.61.114,62608,115,TCP,469,0.00879,20.78,22.57,8.01,FTP
80.160.225.128,210.197.72.93,31358,42,ICMP,505,0.079278,0.25,2020.0,1.44,FTP
109.103.108.97,166.38.161.125,14874,167,UDP,880,0.055279,6.02,146.18,8.94,HTTP
10.7.246.136,137.24.180.99,56548,87,TCP,915,0.06997,26.12,35.03,4.57,DDoS
98.134.131.51,239.29.66.37,29124,140,UDP,1264,0.097709,5.1,247.84,0.54,HTTP
123.241.202.115,71.248.92.61,26492,56,UDP,1207,0.075418,13.06,92.42,8.48,FTP
234.231.254.82,23.149.254.170,60071,334,ICMP,190,0.052104,13.92,13.65,3.9,DDoS
63.32.21.146,76.149.41.195,44846,93,TCP,591,0.02372,29.02,20.37,2.51,Normal
219.223.191.210,21.186.195.74,12697,341,TCP,1311,0.086725,3.09,424.27,8.47,HTTP
240.67.152.152,213.194.236.129,1658,20,TCP,245,0.099992,19.72,12.42,9.18,Normal
7.183.207.246,15.239.244.83,24795,436,ICMP,1012,0.066135,3.07,329.64,2.52,Normal
104.152.34.73,215.95.123.105,64157,346,TCP,310,0.012029,24.22,12.8,3.49,HTTP
